# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
StorageLockContext.competingThreads.90P,1773886639730000000,1773886654262000000,0
FilePageCacheLockFree.totalPagesRequested,1773886639730000000,1773886654262000000,9
MappedFileStorage.totalPagesMapped,1773886639730000000,1773886654262000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1773886639730000000,1773886654262000000,2
FilePageCache.capacityInBytes,1773886639730000000,1773886654262000000,503316478
DirectByteBufferAllocator.misses,1773886639730000000,1773886654262000000,192
StorageLockContext.competingThreads.avg,1773886639730000000,1773886654262000000,0.4074074074074074
FilePageCacheLockFree.totalHeapBytesReclaimed,1773886639730000000,1773886654262000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1773886639730000000,1773886654262000000,31
FilePageCacheLockFree.totalPageAllocationsWaited,1773886639730000000,1773886654262000000,0
FilePageCache.pageHits,1773886639730000000,1773886654262000000,0
FilePageCacheLockFree.totalPagesHandedOver,1773886639730000000,1773886654262000000,0
FilePageCache.totalPageDisposalsUs,1773886639730000000,1773886654262000000,1404
DirectByteBufferAllocator.disposed,1773886639730000000,1773886654262000000,150
MappedFileStorage.totalTimeSpentOnMappingUs,1773886639730000000,1773886654262000000,579995
FilePageCacheLockFree.totalBytesWritten,1773886639730000000,1773886654262000000,24
FilePageCacheLockFree.totalPagesWriteMs,1773886639730000000,1773886654262000000,1
FilePageCache.totalPageLoadsUs,1773886639730000000,1773886654262000000,481545
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1773886639730000000,1773886654262000000,41959424
DirectByteBufferAllocator.reclaimed,1773886639730000000,1773886654262000000,45
FilePageCacheLockFree.totalPagesReclaimed,1773886639730000000,1773886654262000000,2
FilePageCache.pageFastCacheHits,1773886639730000000,1773886654262000000,13385
FilePageCacheLockFree.housekeeperTurnsSkipped,1773886639730000000,1773886654262000000,9551
FilePageCacheLockFree.totalBytesRead,1773886639730000000,1773886654262000000,0
